iter	Passed	Remaining
0	105	105162
1	208	103990
2	302	100541
3	386	96176
4	476	94838
5	585	97018
6	681	96734
7	769	95369
8	890	98002
9	992	98237
10	1078	96955
11	1209	99553
12	1357	103097
13	1488	104864
14	1659	108983
15	1900	116869
16	2072	119824
17	2260	123331
18	2370	122401
19	2487	121894
20	2606	121501
21	2725	121159
22	2820	119805
23	2915	118555
24	3027	118069
25	3122	116966
26	3221	116092
27	3307	114811
28	3382	113249
29	3477	112438
30	3564	111408
31	3633	109906
32	3684	107970
33	3733	106084
34	3782	104278
35	3844	102950
36	3902	101582
37	3960	100261
38	4012	98867
39	4073	97763
40	4165	97422
41	4349	99220
42	4437	98765
43	4519	98198
44	4605	97744
45	4717	97833
46	4861	98580
47	5008	99337
48	5147	99901
49	5258	99909
50	5381	100141
51	5517	100595
52	5647	100906
53	5773	101140
54	5920	101719
55	6036	101761
56	6194	102477
57	6296	102263
58	6417	102349
59	6553	102670
60	6663	102568
61	6769	102420
62	6870	102182
63	6949	101636
64	7044	101332
65	7142	101083
66	7316	101885
67	7600	104167
68	7753	104611
69	7915	105164
70	8018	104920
71	8112	104555
72	8208	104242
73	8289	103733
74	8390	103477
75	8480	103108
76	8584	102906
77	8643	102166
78	8702	101452
79	8761	100760
80	8826	100141
81	8899	99631
82	8980	99213
83	9063	98831
84	9152	98525
85	9244	98246
86	9321	97823
87	9414	97568
88	9510	97348
89	9596	97030
90	9676	96662
91	9766	96393
92	9842	95994
93	9926	95673
94	10022	95481
95	10139	95483
96	10233	95266
97	10350	95265
98	10444	95057
99	10517	94656
100	10597	94326
101	10680	94031
102	10769	93789
103	10864	93602
104	10957	93400
105	11121	93796
106	11231	93739
107	11325	93542
108	11426	93401
109	11507	93104
110	11681	93553
111	11916	94477
112	12067	94727
113	12242	95151
114	12353	95070
115	12468	95017
116	12572	94887
117	12668	94694
118	12758	94454
119	12845	94202
120	12932	93947
121	13074	94093
122	13172	93920
123	13278	93802
124	13364	93550
125	13467	93416
126	13568	93271
127	13688	93251
128	13773	92995
129	13867	92806
130	13965	92643
131	14043	92344
132	14146	92215
133	14222	91915
134	14290	91563
135	14363	91252
136	14426	90873
137	14490	90513
138	14556	90164
139	14625	89842
140	14701	89563
141	14768	89234
142	14887	89220
143	15071	89590
144	15176	89486
145	15250	89202
146	15336	88990
147	15434	88853
148	15496	88508
149	15561	88179
150	15635	87913
151	15715	87674
152	15789	87408
153	15891	87297
154	15973	87080
155	16123	87230
156	16221	87099
157	16328	87018
158	16417	86834
159	16516	86713
160	16627	86651
161	16713	86455
162	16808	86311
163	16909	86195
164	17003	86048
165	17076	85791
166	17170	85647
167	17254	85452
168	17342	85274
169	17420	85052
170	17506	84871
171	17597	84714
172	17755	84877
173	17916	85051
174	18027	84986
175	18162	85034
176	18354	85343
177	18518	85517
178	18643	85508
179	18760	85463
180	18855	85317
181	18976	85289
182	19097	85261
183	19222	85247
184	19330	85158
185	19448	85112
186	19562	85047
187	19668	84951
188	19789	84917
189	19915	84904
190	20024	84815
191	20130	84714
192	20235	84612
193	20319	84420
194	20426	84325
195	20519	84172
196	20649	84169
197	20800	84254
198	21086	84875
199	21241	84964
200	21328	84784
201	21431	84665
202	21580	84726
203	21673	84569
204	21784	84480
205	21889	84371
206	21992	84251
207	22125	84247
208	22262	84255
209	22364	84131
210	22468	84018
211	22558	83851
212	22634	83631
213	22724	83463
214	22803	83258
215	22896	83107
216	22972	82889
217	23051	82690
218	23188	82695
219	23334	82732
220	23442	82630
221	23544	82510
222	23611	82268
223	23673	82011
224	23741	81776
225	23824	81593
226	23894	81369
227	23966	81148
228	24043	80951
229	24124	80766
230	24214	80610
231	24298	80435
232	24369	80219
233	24451	80043
234	24518	79816
235	24594	79620
236	24659	79390
237	24735	79195
238	24806	78985
239	24877	78779
240	24967	78631
241	25038	78426
242	25114	78236
243	25186	78035
244	25254	77823
245	25320	77607
246	25393	77413
247	25463	77212
248	25523	76980
249	25573	76720
250	25633	76490
251	25688	76249
252	25757	76052
253	25821	75837
254	25870	75581
255	25927	75351
256	25980	75110
257	26035	74877
258	26085	74630
259	26144	74410
260	26194	74167
261	26247	73932
262	26305	73715
263	26381	73548
264	26445	73350
265	26533	73216
266	26601	73028
267	26667	72839
268	26740	72666
269	26820	72514
270	26881	72311
271	26934	72088
272	27001	71904
273	27070	71726
274	27140	71552
275	27214	71388
276	27287	71222
277	27360	71057
278	27435	70900
279	27499	70712
280	27545	70481
281	27598	70268
282	27657	70071
283	27717	69878
284	27772	69674
285	27825	69465
286	27883	69270
287	27945	69088
288	28011	68914
289	28080	68747
290	28150	68587
291	28210	68401
292	28289	68262
293	28369	68125
294	28540	68207
295	28742	68360
296	28904	68416
297	29068	68477
298	29211	68485
299	29362	68512
300	29499	68505
301	29739	68734
302	29937	68866
303	30065	68834
304	30181	68774
305	30319	68763
306	30444	68724
307	30534	68603
308	30640	68520
309	30740	68423
310	30844	68333
311	30951	68252
312	31048	68148
313	31153	68062
314	31263	67986
315	31368	67898
316	31446	67753
317	31572	67711
318	31695	67664
319	31826	67631
320	31975	67636
321	32157	67710
322	32303	67708
323	32486	67781
324	32782	68086
325	33064	68359
326	33405	68751
327	33572	68782
328	33736	68805
329	33914	68856
330	34072	68864
331	34190	68792
332	34401	68905
333	34490	68775
334	34561	68607
335	34636	68447
336	34711	68289
337	34774	68109
338	34839	67931
339	34920	67787
340	35000	67640
341	35086	67505
342	35147	67323
343	35206	67137
344	35272	66965
345	35329	66777
346	35416	66648
347	35488	66489
348	35557	66326
349	35619	66151
350	35691	65993
351	35750	65813
352	35812	65639
353	35870	65458
354	35946	65311
355	36019	65158
356	36114	65045
357	36218	64950
358	36300	64814
359	36379	64673
